Tick PD1 PD2 PD3
0050 001 197 101
0051 001 197 099
0052 001 197 094
0053 001 197 087
0054 002 198 078
0055 001 197 069
0056 001 198 062
0057 001 197 061
0058 001 197 070
0059 002 198 088
0060 002 198 112
0061 002 197 137
0062 002 198 160
0063 002 197 162
0064 002 198 158
0065 002 197 154
0066 002 198 150
0067 003 198 146
0068 003 198 142
0069 003 197 138
0070 003 198 134
0071 003 198 129
0072 003 198 125
0073 002 197 120
0074 002 198 116
0075 002 198 111
0076 003 198 107
0077 003 197 105
0078 003 198 105
0079 003 198 105
0080 003 198 105
0081 003 197 105
0082 003 198 105
0083 003 198 105
0084 003 198 105
0085 003 198 105
0086 003 198 105
0087 003 198 105
0088 003 198 104
0089 003 198 104
0090 003 198 103
0091 003 198 103
0092 003 198 102
0093 003 198 102
0094 003 198 102
0095 003 198 101
0096 003 198 101
0097 003 198 100
0098 004 198 100
0099 004 198 099
0100 004 198 099
0101 004 198 099
0102 005 198 099
0103 005 198 098
0104 006 198 098
0105 006 198 098
0106 007 198 097
0107 008 198 097
0108 009 198 096
0109 010 198 096
0110 011 198 095
0111 012 198 096
0112 013 198 102
0113 014 198 108
0114 014 198 114
0115 015 198 120
0116 015 198 125
0117 016 198 131
0118 017 198 136
0119 017 198 141
0120 017 198 146
0121 017 198 150
0122 018 198 154
0123 018 198 158
0124 020 198 161
0125 022 198 164
0126 024 198 166
0127 027 198 168
0128 029 198 170
0129 032 198 172
0130 034 198 173
0131 037 198 175
0132 039 198 176
0133 041 198 177
0134 043 198 178
0135 044 198 178
0136 046 198 179
0137 048 198 180
0138 050 198 180
0139 053 198 181
0140 057 198 181
0141 061 198 181
0142 065 198 182
0143 068 198 183
0144 071 198 184
0145 074 198 186
0146 077 198 188
0147 081 198 190
0148 085 198 191
0149 089 198 192
0150 093 198 193
0151 099 198 195
0152 106 198 197
0153 111 198 198
0154 117 198 198
0155 122 198 198
0156 126 198 198
0157 131 198 198
0158 136 198 198
0159 139 198 198
0160 142 198 198
0161 145 198 198
0162 148 198 198
0163 150 198 198
0164 151 198 198
0165 153 198 199
0166 155 198 198
0167 159 198 198
0168 162 198 198
0169 165 199 199
0170 168 199 199
0171 172 198 198
0172 175 198 198
0173 178 198 198
0174 180 199 198
0175 182 199 199
0176 183 199 198
0177 185 198 198
0178 187 199 198
0179 189 199 199
0180 191 198 198
0181 192 198 198
0182 194 198 198
0183 196 199 199
0184 198 199 198
0185 198 198 198
0186 198 199 198
0187 198 198 198
0188 198 199 198
0189 198 198 198
0190 198 199 198
0191 198 199 199
0192 198 198 198
0193 198 198 198
0194 198 199 199
0195 198 198 198
0196 198 199 198
0197 198 198 198
0198 198 198 198
0199 198 199 198
0200 198 199 199
0201 198 198 198
0202 198 198 198
0203 198 199 198
0204 198 199 198
0205 198 198 198
0206 198 198 198
0207 198 198 198
0208 198 199 198
0209 198 198 198
0210 198 199 198
0211 198 198 198
0212 198 198 198
0213 198 198 198
0214 198 198 198
0215 198 199 198
0216 198 199 198
0217 198 199 198
0218 198 199 199
0219 198 199 198
0220 198 199 198
0221 198 198 198
0222 198 199 198
0223 198 199 199
0224 198 199 198
0225 198 199 198
0226 198 198 198
0227 198 199 198
0228 198 198 198
0229 198 198 198
0230 198 199 198
0231 198 199 199
0232 198 198 198
0233 198 198 198
0234 198 199 198
0235 198 198 198
0236 198 198 198
0237 198 198 198
0238 198 199 198
0239 198 199 198
0240 198 198 198
0241 198 198 198
0242 198 199 198
0243 198 199 198
0244 198 198 198
0245 198 199 198
0246 198 198 198
0247 198 199 198
0248 198 199 198
0249 198 198 198
0250 198 198 198
0251 198 199 198
0252 198 198 198
0253 198 199 198
0254 198 198 198
0255 198 199 198
0256 198 199 198
0257 198 198 198
0258 198 199 198
0259 198 198 198
0260 198 199 198
0261 198 199 199
0262 198 199 198
0263 198 198 198
0264 198 198 198
0265 198 198 198
0266 198 198 198
0267 198 198 198
0268 198 199 198
0269 198 198 198
0270 198 198 198
0271 198 199 198
0272 198 199 198
0273 198 198 198
0274 198 198 198
0275 198 198 198
0276 197 198 198
0277 196 199 199
0278 194 199 198
0279 192 199 198
0280 191 199 198
0281 189 198 198
0282 187 199 197
0283 185 199 197
0284 183 199 197
0285 181 198 197
0286 178 199 197
0287 176 198 197
0288 173 198 197
0289 170 199 197
0290 168 198 196
0291 164 198 196
0292 161 198 196
0293 158 198 196
0294 154 198 197
0295 152 198 196
0296 149 198 196
0297 146 198 196
0298 144 198 196
0299 142 198 196
0300 139 198 196
0301 133 198 197
0302 127 198 196
0303 122 198 196
0304 117 198 197
0305 112 198 197
0306 108 198 197
0307 103 198 198
0308 098 198 198
0309 094 198 198
0310 089 198 199
0311 085 198 198
0312 082 198 198
0313 078 198 199
0314 076 198 198
0315 073 198 198
0316 071 198 198
0317 068 198 198
0318 065 198 198
0319 061 198 198
0320 057 198 199
0321 053 198 198
0322 049 198 198
0323 046 198 198
0324 042 198 199
0325 039 198 198
0326 037 198 199
0327 034 198 198
0328 032 198 198
0329 030 198 198
0330 028 198 199
0331 026 198 198
0332 023 198 199
0333 022 198 199
0334 020 198 198
0335 018 198 199
0336 016 198 199
0337 014 198 198
0338 013 198 199
0339 012 198 199
0340 011 198 198
0341 010 198 199
0342 009 198 199
0343 009 198 199
0344 008 198 198
0345 007 198 198
0346 006 198 198
0347 006 198 199
0348 005 198 198
0349 005 198 199
0350 005 198 199
0351 004 198 199
0352 004 198 199
0353 003 198 198
0354 003 198 198
0355 003 198 198
0356 003 198 198
0357 003 198 199
0358 002 198 198
0359 002 198 199
0360 002 198 198
0361 002 198 199
0362 002 198 199
0363 002 198 199
0364 002 198 198
0365 001 198 198
0366 001 198 198
0367 001 198 198
0368 001 198 199
0369 001 198 198
0370 001 198 199
0371 001 198 198
0372 001 198 198
0373 001 198 198
0374 001 198 198
0375 001 198 198
0376 000 198 198
0377 000 198 198
0378 000 198 198
0379 000 198 198
0380 000 198 198
0381 000 198 198
0382 000 198 198
0383 000 198 198
0384 000 198 198
0385 000 198 198
0386 000 198 198
0387 000 198 198
0388 000 198 199
0389 000 198 199
0390 000 198 199
0391 000 198 198
0392 000 198 198
0393 000 198 198
0394 000 198 198
0395 000 198 198
0396 000 198 199
0397 000 198 199
0398 000 198 199
0399 000 198 199
0400 000 198 199
0401 000 198 199
0402 000 198 198
0403 000 198 199
0404 000 198 198
0405 000 198 198
0406 000 198 198
0407 000 198 198
0408 000 198 198
0409 000 198 199
0410 000 198 198
0411 000 198 199
0412 000 198 198
0413 000 198 198
0414 000 198 198
0415 000 198 199
0416 000 198 198
0417 000 198 198
0418 000 198 198
0419 000 198 199
0420 000 198 199
0421 000 198 198
0422 000 198 199
0423 000 198 199
0424 000 198 198
0425 000 198 198
0426 000 198 198
0427 000 198 198
0428 000 198 197
0429 000 198 197
0430 000 198 197
0431 000 198 197
0432 000 198 196
0433 000 198 196
0434 000 198 195
0435 000 198 195
0436 000 198 195
0437 000 198 195
0438 000 198 195
0439 000 198 195
0440 000 198 194
0441 000 198 195
0442 000 198 195
0443 000 198 195
0444 000 198 195
0445 000 198 195
0446 000 198 195
0447 000 198 195
0448 000 198 195
0449 001 198 195
0450 001 198 195
0451 001 198 196
0452 002 198 196
0453 002 198 196
0454 002 198 197
0455 003 198 197
0456 004 198 197
0457 004 198 198
0458 005 198 198
0459 006 198 198
0460 007 198 198
0461 008 198 199
0462 009 198 198
0463 010 198 199
0464 011 198 198
0465 012 198 198
0466 014 198 198
0467 015 198 198
0468 016 198 199
0469 018 198 198
0470 020 198 199
0471 023 198 198
0472 025 198 199
0473 028 198 198
0474 031 198 199
0475 034 198 199
0476 037 198 198
0477 040 198 198
0478 043 198 198
0479 046 198 198
0480 049 198 198
0481 052 198 198
0482 055 198 198
0483 058 198 198
0484 061 198 198
0485 064 198 198
0486 068 198 198
0487 073 198 198
0488 078 198 198
0489 082 198 199
0490 086 198 198
0491 091 198 198
0492 095 198 198
0493 100 198 198
0494 104 198 198
0495 108 198 198
0496 113 198 198
0497 117 198 198
0498 122 198 198
0499 127 198 198
0500 132 198 199
0501 138 198 199
0502 143 198 199
0503 148 198 199
0504 152 199 198
0505 156 198 198
0506 160 198 198
0507 163 199 199
0508 166 198 198
0509 169 198 198
0510 171 198 198
0511 174 198 199
0512 176 198 198
0513 178 199 199
0514 180 198 198
0515 182 198 198
0516 184 199 199
0517 187 198 198
0518 189 199 198
0519 191 199 199
0520 194 198 198
0521 195 198 198
0522 197 198 198
0523 198 199 199
0524 198 198 198
0525 198 199 199
0526 198 199 198
0527 198 198 198
0528 198 198 198
0529 198 199 198
0530 198 198 198
0531 198 198 198
0532 198 199 198
0533 198 199 198
0534 198 198 198
0535 198 199 198
0536 198 198 198
0537 198 199 198
0538 198 199 198
0539 198 198 198
0540 198 198 198
0541 198 198 198
0542 198 198 198
0543 198 198 198
0544 198 199 198
0545 198 199 198
0546 198 199 198
0547 198 198 198
0548 198 198 198
0549 198 198 198
0550 198 199 198
0551 198 198 198
0552 198 199 198
0553 198 198 198
0554 198 199 198
0555 198 198 198
0556 198 198 198
0557 198 199 198
0558 198 199 198
0559 198 199 199
0560 198 198 198
0561 198 199 199
0562 198 199 198
0563 198 199 198
0564 198 198 198
0565 198 198 198
0566 198 198 198
0567 198 198 196
0568 198 196 193
0569 198 195 191
0570 198 193 188
0571 198 191 186
0572 198 189 183
0573 198 187 181
0574 198 186 178
0575 198 184 176
0576 198 182 173
0577 198 180 171
0578 198 178 169
0579 198 176 166
0580 198 174 164
0581 198 173 162
0582 198 171 159
0583 198 169 157
0584 198 165 153
0585 198 161 147
0586 198 157 141
0587 198 153 136
0588 198 149 131
0589 198 144 126
0590 198 141 120
0591 198 137 115
0592 198 133 109
0593 198 129 105
0594 198 125 100
0595 198 121 095
0596 198 117 090
0597 198 114 086
0598 198 110 082
0599 198 107 078
0600 198 103 075
0601 198 100 072
0602 198 095 065
0603 198 089 059
0604 198 083 054
0605 198 078 050
0606 198 072 046
0607 198 067 043
0608 198 062 041
0609 198 057 038
0610 198 053 037
0611 198 049 035
0612 198 046 034
0613 198 042 034
0614 198 039 033
0615 198 036 034
0616 198 034 034
0617 198 031 035
0618 198 029 035
0619 198 026 037
0620 198 024 038
0621 198 022 040
0622 198 021 041
0623 198 019 043
0624 198 018 044
0625 198 016 046
0626 198 015 048
0627 198 014 050
0628 198 013 051
0629 198 012 053
0630 198 011 054
0631 198 010 056
0632 198 009 057
0633 198 009 059
0634 198 008 060
0635 198 007 063
0636 198 006 065
0637 198 005 068
0638 198 004 070
0639 198 004 072
0640 198 003 073
0641 198 003 076
0642 198 002 078
0643 198 002 080
0644 198 002 082
0645 198 001 084
0646 198 001 086
0647 198 001 087
0648 198 001 088
0649 198 000 089
0650 198 000 090
0651 198 000 090
0652 198 000 091
0653 198 000 092
0654 198 000 092
0655 198 000 093
0656 198 000 093
0657 198 000 094
0658 198 000 094
0659 198 000 094
0660 198 000 094
0661 198 000 094
0662 198 000 094
0663 198 000 094
0664 198 000 094
0665 198 000 094
0666 198 000 093
0667 198 000 093
0668 198 000 093
0669 198 000 092
0670 198 000 091
0671 198 000 090
0672 198 000 089
0673 198 000 088
0674 198 000 087
0675 198 000 085
0676 198 000 083
0677 198 000 082
0678 198 000 080
0679 198 000 078
0680 198 000 076
0681 198 000 073
0682 198 000 071
0683 198 000 067
0684 198 000 064
0685 198 000 060
0686 198 000 057
0687 198 000 054
0688 198 000 051
0689 198 000 047
0690 198 000 044
0691 198 000 041
0692 198 000 038
0693 198 000 035
0694 198 000 032
0695 198 000 030
0696 198 000 027
0697 198 000 025
0698 198 000 022
0699 198 000 020
0700 198 000 017
0701 198 000 016
0702 198 000 014
0703 198 000 012
0704 198 000 010
0705 198 000 008
0706 198 000 007
0707 198 000 005
0708 198 000 004
0709 198 000 003
0710 198 000 003
0711 198 000 002
0712 198 000 002
0713 198 000 001
0714 198 000 001
0715 198 000 001
0716 198 000 001
0717 198 000 001
0718 198 000 001
0719 198 000 001
0720 198 000 000
0721 198 000 000
0722 198 000 000
0723 198 000 000
0724 198 000 000
0725 198 000 000
0726 198 000 000
0727 198 000 000
0728 198 000 001
0729 198 000 001
